steps,time,reward,delta,converged
1,0.006950999999389751,57.0,125.75,False
2,0.0064949999996315455,57.0,101.0,False
3,0.005836000000272179,57.0,101.0,False
4,0.0062370000005103066,57.0,101.0,False
5,0.006419000000278174,57.0,101.0,False
6,0.0059609999998428975,57.0,101.0,False
7,0.005275999999867054,57.0,101.0,False
8,0.005436999999801628,57.0,101.0,False
9,0.005943000000115717,57.0,101.0,False
10,0.005560999999943306,57.0,101.0,False
11,0.005866999999852851,57.0,101.0,False
12,0.0052470000000539585,57.0,101.0,True
