steps,time,reward,delta,converged
1,0.10052200000006906,-995.8150085120421,100.0,False
2,0.0824840000000222,-354.09952416016796,100.0,False
3,0.09278700000004392,-352.40418409734656,100.0,False
4,0.08251900000004753,-352.3093772025774,100.0,False
5,0.08250399999997171,-352.2986549506029,100.0,False
6,0.0821889999999712,-352.29865352915834,100.0,False
7,0.08310900000003585,-352.29865352915834,100.0,False
8,0.08481700000004366,-352.29865352915834,100.0,False
9,0.08912099999997736,-352.29865352915834,100.0,False
10,0.08060899999998128,-352.29865352915834,100.0,False
11,0.07814699999994446,-352.29865352915834,100.0,False
12,0.07955399999991641,-352.29865352915834,100.0,True
