params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",62.473658,1000,-0.10000000000000002,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,2.7755575615628914e-17
"{""discount_factor"": 0.1}",173.747658,1000,-0.09450965358006834,-0.09627118644067795,-0.09963552021206094,-0.05925925925925928,0.005329324154597925
"{""discount_factor"": 0.2}",188.40621,1000,-0.09045809737919512,-0.09208633093525177,-0.09889558232931728,-0.050000000000000024,0.006371329855167627
"{""discount_factor"": 0.3}",240.55366200000003,1000,-0.09049887507360771,-0.09301580262839634,-0.09923130677847657,-0.054166666666666675,0.007644812838624979
"{""discount_factor"": 0.4}",18.001452000000086,1000,-0.08612426422998352,-0.08791208791208789,-0.09798165137614677,-0.04210526315789475,0.008514092892622376
"{""discount_factor"": 0.5}",17.764067999999952,1000,-0.07015481278877696,-0.07105263157894738,-0.09051724137931035,-0.03125000000000001,0.01004233930944935
"{""discount_factor"": 0.6}",18.805017999999905,1000,-0.07030623703508304,-0.07105263157894738,-0.0965625,-0.03125000000000001,0.010985574760593147
"{""discount_factor"": 0.7}",18.31626200000005,1000,-0.0691276964468519,-0.07105263157894738,-0.08854166666666667,-0.02666666666666669,0.010330765411619269
"{""discount_factor"": 0.8}",18.829154000000017,1000,-0.06898377536675317,-0.07027027027027029,-0.09098360655737706,-0.03125000000000001,0.009507622162566207
"{""discount_factor"": 0.9}",20.791499000000044,1000,-0.06830340493368266,-0.06944444444444446,-0.08888888888888888,-0.02666666666666669,0.009535329385643962
