steps,time,reward,delta,converged
1,0.2887160000000222,-1092.2591706476244,100.0,False
2,0.2803600000006554,-298.1549918174669,100.0,False
3,0.26856599999973696,-296.3187616565367,100.0,False
4,0.27608799999961775,-296.3163815344847,100.0,False
5,0.2617920000002414,-296.3162006521423,100.0,False
6,0.2678089999999429,-296.3161584822892,100.0,False
7,0.2951949999996941,-296.3161429413877,100.0,False
8,0.2725190000001021,-296.3161262527865,100.0,False
9,0.26494800000000396,-296.3161642718588,100.0,False
10,0.2732850000002145,-296.3161518217969,100.0,False
11,0.26998399999956746,-296.3161661917844,100.0,False
12,0.25928900000053545,-296.31614354203555,100.0,False
13,0.27308999999968364,-296.31614562765634,100.0,False
14,0.277367000000595,-296.3161658260618,100.0,False
15,0.273377999999866,-296.3161323342246,100.0,False
16,0.26431200000024546,-296.3161523240875,100.0,False
17,0.2799930000001041,-296.31615514594,100.0,False
18,0.2721690000007584,-296.3161565029621,100.0,False
19,0.2757069999997839,-296.316154564138,100.0,False
20,0.26630199999999604,-296.31614629473324,100.0,False
21,0.31460100000003877,-296.3161647327259,100.0,False
22,0.29283399999985704,-296.3161464647029,100.0,False
23,0.2598389999993742,-296.3161637484138,100.0,False
24,0.26299400000061723,-296.316140264142,100.0,False
25,0.2910670000001119,-296.31616578590337,100.0,False
26,0.28047699999933684,-296.31615268658146,100.0,False
27,0.27086099999996804,-296.31612386119804,100.0,False
28,0.26795399999991787,-296.31617028364025,100.0,False
29,0.267174999999952,-296.3161315571771,100.0,False
30,0.271284000000378,-296.3161735893021,100.0,False
31,0.266910999999709,-296.31615197118015,100.0,False
32,0.27577300000029936,-296.31616171474167,100.0,False
33,0.2659480000002077,-296.3161562264999,100.0,False
34,0.25945099999989907,-296.31616772967953,100.0,False
35,0.2710770000003322,-296.31614600984636,100.0,False
36,0.2651510000005146,-296.316156362893,100.0,False
37,0.2643500000003769,-296.316169844884,100.0,False
38,0.2619960000001811,-296.3161484122401,100.0,False
39,0.26942499999950087,-296.3161416775878,100.0,False
40,0.2734810000001744,-296.31617045967073,100.0,False
41,0.266128000000208,-296.3161487143535,100.0,False
42,0.2687550000000556,-296.31615700225797,100.0,False
43,0.2708710000006249,-296.3161695271133,100.0,False
44,0.2996789999997418,-296.3161512109816,100.0,False
45,0.26003099999979895,-296.3161468721394,100.0,False
46,0.2648040000003675,-296.31616946896105,100.0,False
47,0.3196219999999812,-296.31615018601246,100.0,False
48,0.2716449999998076,-296.3161481016128,100.0,False
49,0.26852299999973184,-296.3161693585398,100.0,False
50,0.2677929999999833,-296.3161517919564,100.0,False
51,0.2740119999998569,-296.31614634234205,100.0,False
52,0.2669770000002245,-296.3161696186002,100.0,False
53,0.2638790000000881,-296.3161501860073,100.0,False
54,0.26515999999992346,-296.3161481016128,100.0,False
55,0.26853399999981775,-296.3161693585398,100.0,False
56,0.2605999999996129,-296.3161517919564,100.0,False
57,0.2676449999999022,-296.31614634234205,100.0,False
58,0.2747540000000299,-296.3161696186002,100.0,False
59,0.280069999999796,-296.3161501860073,100.0,False
60,0.26043700000082026,-296.3161481016128,100.0,False
61,0.26932600000054663,-296.3161693585398,100.0,False
62,0.2994140000000698,-296.3161517919564,100.0,False
63,0.267587000000276,-296.31614634234205,100.0,False
64,0.26582199999938894,-296.3161696186002,100.0,False
65,0.27813199999945937,-296.3161501860073,100.0,False
66,0.2737600000000384,-296.3161481016128,100.0,False
67,0.26215400000000955,-296.3161693585398,100.0,False
68,0.26553899999998976,-296.3161517919564,100.0,False
69,0.26827700000012555,-296.31614634234205,100.0,False
70,0.280442000000221,-296.3161696186002,100.0,False
71,0.2649059999994279,-296.3161501860073,100.0,False
72,0.28106000000025233,-296.3161481016128,100.0,False
73,0.2718940000004295,-296.3161693585398,100.0,False
74,0.25978500000019267,-296.3161517919564,100.0,False
75,0.2700939999995171,-296.31614634234205,100.0,False
76,0.2709150000000591,-296.3161696186002,100.0,False
77,0.26471200000014505,-296.3161501860073,100.0,False
78,0.28129700000044977,-296.3161481016128,100.0,False
79,0.26690599999983533,-296.3161693585398,100.0,False
