params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",63.12293599999998,1000,-0.1093546778330317,-0.09999999999999999,-0.6982035928143713,-0.09999999999999999,0.040591152111507926
"{""discount_factor"": 0.1}",619.069254,1000,-0.09993119414015203,-0.09999999999999999,-0.09999999999999999,-0.09578544061302682,0.0003089368870764297
"{""discount_factor"": 0.2}",799.3787790000001,1000,-0.09997139922544172,-0.09999999999999999,-0.09999999999999999,-0.09051724137931035,0.0003274140247630741
"{""discount_factor"": 0.3}",935.259497,1000,-0.09919967669850015,-0.09959809989500965,-0.09999999999999999,-0.08624999999999998,0.001330863684421034
"{""discount_factor"": 0.4}",1203.423577,1000,-0.09976919254602225,-0.09999999999999999,-0.09999999999999999,-0.08888888888888888,0.0008947897073113535
"{""discount_factor"": 0.5}",1377.2132499999998,1000,-0.0985567179294058,-0.09924554041848561,-0.09999999999999999,-0.08103448275862067,0.002086438120781243
"{""discount_factor"": 0.6}",1867.0706330000003,1000,-0.08689524844920843,-0.08589743589743587,-1.45,-0.065625,0.04331833793316425
"{""discount_factor"": 0.7}",28.56271900000047,1000,-0.08981344338498545,-0.08166666666666664,-2.5975,-0.06666666666666667,0.13451752740400133
"{""discount_factor"": 0.8}",31.70688699999937,1000,-0.08657275287692484,-0.08135593220338981,-3.667857142857143,-0.065625,0.12566176615886843
"{""discount_factor"": 0.9}",41.48368500000015,1000,-0.0952668643487809,-0.08119520748100524,-3.43,-0.062068965517241406,0.20513293292205845
