params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",375.6888319999998,1000,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",232.17444799999794,1000,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",101.85410599999886,1000,2.245466666666667,-1.0,-1.0,5.733333333333333,3.364484359369864
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",105.7704259999955,1000,2.2185333333333332,-1.0,-1.0,5.733333333333333,3.3634061544809004
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",100.47550000000047,1000,2.5013333333333336,5.733333333333333,-1.0,5.733333333333333,3.3639722551372704
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",123.89565500000026,1000,2.4003333333333337,5.733333333333333,-1.0,5.733333333333333,3.3664983291247896
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",111.3434350000025,1000,2.333,-1.0,-1.0,5.733333333333333,3.3664983291247896
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",103.53986900000018,1000,2.3531999999999997,-1.0,-1.0,5.733333333333333,3.3666397332255995
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",105.37310300000536,1000,2.4676666666666667,5.733333333333333,-1.0,5.733333333333333,3.365151325638187
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",110.16311799999676,1000,2.3868666666666667,5.733333333333333,-1.0,5.733333333333333,3.3666060661212573
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",412.0454880000034,1000,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",114.58822999999393,1000,2.4878666666666667,5.733333333333333,-1.0,5.733333333333333,3.3644843593698646
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",120.7883989999973,1000,2.2521999999999998,-1.0,-1.0,5.733333333333333,3.364720170633312
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",21.932440999997198,1000,5.3229960784313715,4.9411764705882355,4.9411764705882355,5.733333333333333,0.395821689337631
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",114.91345100000035,1000,2.4272666666666667,5.733333333333333,-1.0,5.733333333333333,3.366121222482108
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",107.45232499999838,1000,2.380133333333333,5.733333333333333,-1.0,5.733333333333333,3.3666397332255995
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",107.66388300000108,1000,2.380133333333333,5.733333333333333,-1.0,5.733333333333333,3.3666397332255995
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",98.32906000000366,1000,2.4878666666666667,5.733333333333333,-1.0,5.733333333333333,3.3644843593698646
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",20.367940000003728,1000,5.3047764705882345,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39474456968287425
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",106.55345300000045,1000,2.2925999999999997,-1.0,-1.0,5.733333333333333,3.365851834726735
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",394.52793799999927,1000,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",105.59886199999892,1000,2.3397333333333337,-1.0,-1.0,5.733333333333333,3.366558931609545
