episode,length,time,reward,delta
0,23.0,0.0018040000013570534,-102.3,-100.0
1,78.0,0.005363000000215834,-107.79999999999998,-100.0
2,24.0,0.0015599999987898627,-102.4,-100.0
3,81.0,0.005357000000003609,-108.1,-100.0
4,18.0,0.001202999999804888,-101.8,-100.0
5,6.0,0.000450999999884516,-100.6,-100.0
6,29.0,0.0018769999987853225,-102.9,-99.9897
7,17.0,0.0012079999996785773,-101.7,-91.88073
8,26.0,0.001699999998891144,-102.6,-90.0
9,70.0,0.004554999999527354,-106.99999999999999,-100.0
10,33.0,0.0021350000006350456,-103.3,-100.0
11,17.0,0.0011279999998805579,-101.7,-89.99073
12,71.0,0.004607999999279855,-6.099999999999991,1.0
13,15.0,0.0010199999996984843,-101.5,-99.9720789
14,46.0,0.002983000000313041,-104.6,-82.8819213
15,47.0,0.0029940000003989553,-104.7,-99.9612652914996
16,16.0,0.0011949999989155913,-101.6,-100.0
17,15.0,0.001006000000415952,-101.5,-99.980421
18,114.0,0.007115000000339933,-111.39999999999998,-100.0
19,20.0,0.0014319999991130317,-102.0,-81.0
20,27.0,0.0017520000001240987,-102.7,-99.9807
21,61.0,0.003913999998985673,-106.1,-99.9572856
22,12.0,0.0008170000000973232,-101.2,-100.0
23,8.0,0.0005689999998139683,-100.8,-72.9
24,59.0,0.0040479999988747295,-105.89999999999999,-100.0
25,99.0,0.00626400000146532,-109.89999999999998,-99.981
26,22.0,0.0014419999988604104,-102.2,-89.96155704
27,9.0,0.0008639999996375991,-100.9,-85.96003778407322
28,6.0,0.00045899999895482324,-100.6,-74.59372916999999
29,63.0,0.004090000000360305,-5.299999999999994,0.9
30,9.0,0.0006370000010065269,-100.9,-90.0
31,34.0,0.0022869999993417878,-103.4,-90.99
32,73.0,0.004843000000619213,-107.29999999999998,-65.61
33,26.0,0.0018670000008569332,-102.6,-90.0
34,5.0,0.0004039999985252507,-100.5,-77.3640340056659
35,26.0,0.0017059999991033692,-102.6,-99.980691
36,11.0,0.0007569999997940613,-101.1,-90.9891789
37,24.0,0.0018010000003414461,-102.4,-81.89026101
38,23.0,0.001698000000033062,-102.3,-90.99
39,80.0,0.005012999999962631,-107.99999999999999,-99.96294305724766
40,26.0,0.0016990000003715977,-102.6,-99.9787893950458
41,6.0,0.0004890000000159489,-100.6,-99.9165617423636
