steps,time,reward,delta,converged
1,0.0012799999985873,-5.65,10.000002731899452,False
2,0.0008369999995920807,-7.7846153846153845,10.000026800722729,False
3,0.0016369999993912643,-4.096,10.000001375536398,False
4,0.001141000000643544,-5.65,10.000057761059697,False
5,0.0006460000004153699,-10.09,9.998975729192004,False
6,0.0010999999994965037,-6.760000000000001,10.000016349979152,False
7,0.0027000000009138603,-2.8000000000000003,9.998111458404333,False
8,0.001764000000548549,-3.667857142857143,10.00002354874246,False
9,0.0010779999993246747,-5.976470588235294,9.999986535524819,False
10,0.0013180000005377224,-4.857142857142857,10.000058269239819,False
11,0.0012599999990925426,-5.095000000000001,9.999017571689185,False
12,0.0037860000011278316,-1.9163636363636363,10.000034752723971,False
13,0.010675999999875785,-0.8866141732283462,9.999020214939776,False
14,0.0017430000007152557,-3.8,9.998003986836526,False
15,0.003020000000105938,-2.18125,9.999041353755391,False
16,0.0023380000002362067,-3.038235294117647,9.997053536590286,False
17,0.0031799999997019768,-2.5365853658536586,9.9989429668858,False
18,0.00192599999900267,-4.443478260869566,10.000024476296957,False
19,0.002573000001575565,-2.5365853658536586,9.999974384720483,False
20,0.0010789999996632105,-5.976470588235294,9.999970564404803,False
21,0.0044500000003608875,-1.5478260869565217,10.000004615514193,False
22,0.0032970000011118827,-2.2717391304347827,10.000033141683282,False
23,0.002064000000245869,-3.221875,9.997115412458697,False
24,0.0025610000011511147,-2.5365853658536586,9.994209965194834,False
25,0.005245000000286382,-1.34875,9.996409850275128,False
26,0.00167199999850709,-4.096,9.098957885382331,False
27,0.004521000000750064,-1.6609375,9.999980457081882,False
28,0.0008429999998043058,-7.7846153846153845,9.999973741399861,False
29,0.0018839999993360834,-3.5448275862068965,9.996006693586766,False
30,0.0012580000002344605,-5.095000000000001,9.09816640368523,False
31,0.0014360000004671747,-4.443478260869566,9.000001237982756,False
32,0.0032119999996211845,-2.1387755102040815,9.993404234043455,False
33,0.0035219999990658835,-1.8839285714285714,9.995684020218334,False
34,0.0006539999994856771,-12.5875,9.000021444798408,False
35,0.0009290000016335398,-9.181818181818182,9.097430370634473,False
36,0.002381000000241329,-2.7289473684210526,9.098631914414057,False
37,0.007236999999804539,-0.9919642857142855,9.999971698372605,False
38,0.0008920000000216532,-7.235714285714286,9.187944122025483,False
39,0.008728999999220832,-0.8568181818181816,9.996829629357759,False
40,0.008959000000686501,-0.8085106382978722,8.99913721837985,False
41,0.01151199999912933,-0.6808139534883719,9.331667481475664,False
42,0.012440000000424334,-0.6176165803108808,9.99997965324896,False
43,0.0030639999986306066,-2.1387755102040815,8.188768472042455,False
44,0.011833999998998479,-0.6549999999999999,9.997961290661344,False
45,0.0007750000004307367,-8.424999999999999,8.999974528535345,False
46,0.0007679999998799758,-8.424999999999999,8.529272265087723,False
47,0.004375999998956104,-1.527142857142857,9.997232154302369,False
48,0.0030249999999796273,-2.3200000000000003,9.999984297688256,False
49,0.0007289999994100071,-11.2,7.67634503857895,False
50,0.0023230000006151386,-2.8000000000000003,9.999976964135007,False
51,0.005500999999640044,-1.2352272727272726,9.098171033881425,False
52,0.005981999998766696,-1.2099999999999997,9.995475463708758,False
53,0.0013650000000779983,-5.3578947368421055,8.998203588152874,False
54,0.005446999999549007,-0.0864197530864196,0.09996738059126153,False
55,0.0188479999997071,-0.43979591836734744,10.000067531191803,False
56,0.002677999998923042,-2.7289473684210526,9.992762775300445,False
57,0.0046779999993304955,-1.4874999999999998,9.999042241185242,False
58,0.02079800000137766,-0.09649681528662477,0.08997064253213538,False
59,0.006498000000647153,-1.089108910891089,9.256161755351629,False
60,0.004304999998566927,-1.5478260869565217,8.997348182931256,False
61,0.003416999999899417,-2.18125,9.999993992891312,False
62,0.008245000000897562,-0.8744186046511625,9.997721253665036,False
63,0.014022999999724561,-0.5582568807339452,10.000040306069277,False
64,0.0074589999985619215,-0.9612068965517239,8.09997707568181,False
65,0.00351799999953073,-2.021153846153846,9.938153080672208,False
66,0.010759000000689412,-0.6842105263157893,8.099223496541866,False
67,0.005052000000432599,-1.3974025974025974,9.997075334378513,False
68,0.007806999999957043,-0.9188524590163931,9.095503416907746,False
69,0.008740999999645283,-0.8684615384615383,8.998165161595209,False
70,0.002193000000261236,-2.9542857142857146,9.264361497786487,False
71,0.01398699999845121,-0.5625000000000001,8.730079353029558,False
72,0.003769000000829692,-1.7932203389830508,8.098383229337585,False
73,0.004716999999800464,-1.4684931506849312,8.18834346090957,False
74,0.009420999998837942,-0.7842465753424656,10.000055851835661,False
75,0.011671000000205822,-0.6549999999999999,9.098950125028853,False
76,0.012280000000828295,-0.6342245989304812,9.999985294727114,False
77,0.007417999999233871,-0.09017857142857122,0.08387455975655728,False
78,0.006255999998757034,-0.0889999999999998,0.07548710378090154,False
79,0.0016109999996842816,-4.443478260869566,8.45245811795834,False
80,0.012719999998807907,-0.6429347826086955,9.998957569811903,False
81,0.016100000000733417,-0.5060975609756101,9.999981577570338,False
82,0.015785999999934575,-0.5179916317991634,7.857071417726601,False
83,0.013826000000335625,-0.5646511627906978,10.000059408670083,False
84,0.007563999999547377,-0.9686956521739128,9.994930856182012,False
85,0.009566999999151449,-0.09256756756756732,0.06793839340281138,False
86,0.008895000000848086,-0.09105691056910546,0.06114455406253025,False
87,0.011163000001033652,-0.09364161849710968,0.05503009865627722,False
88,0.015638999999282532,-0.5179916317991634,8.997367800940662,False
89,0.006400000000212458,-0.08854166666666648,0.09993837476715203,False
90,0.005315000000337022,-1.318292682926829,9.981138844612047,False
91,0.008184000000255764,-0.09083333333333311,0.055574401116336436,False
92,0.00774700000147277,-0.09098360655737683,0.05001696100470279,False
93,0.01614499999959662,-0.4964285714285717,9.098977841660313,False
94,0.01060200000028999,-0.09333333333333312,0.045015264904232515,False
95,0.005254000001514214,-0.08690476190476175,0.040513738413809265,False
96,0.011822000000393018,-0.6489010989010988,8.098348645435689,False
97,0.002187000000049011,-3.3225806451612905,8.36568841015283,False
98,0.002263999998831423,-2.875,10.000039997543276,False
99,0.010587000000668922,-0.09320987654320963,0.036462364572428345,False
100,0.010678999999072403,-0.698203592814371,9.999994256316052,False
101,0.004479999999603024,-1.5910447761194029,9.999991082959562,False
102,0.0075450000003911555,-0.0906779661016947,0.09198575466329158,False
103,0.023119999999835272,-0.3806179775280905,7.55878085861049,False
104,0.009384999999383581,-0.09256756756756732,0.047469803433423455,False
105,0.019684000000779633,-0.09641693811074972,0.05133226144138606,False
106,0.007262999999511521,-0.08999999999999979,0.04619903529724744,False
107,0.009963999998944928,-0.7403846153846151,9.986959603648017,False
108,0.00804499999867403,-0.09133858267716513,0.041579131767522697,False
109,0.0024700000012671808,-0.06857142857142862,0.037421218590770425,False
110,0.0042049999992741505,-0.08333333333333323,0.045800402302379944,False
111,0.012221999999383115,-0.09417989417989417,0.04122036207214195,False
112,0.0028139999994891696,-0.07250000000000005,0.03709832586492775,False
113,0.006541000000652275,-0.0888888888888887,0.033388493278434975,False
114,0.004961999999068212,-1.414473684210526,8.924030557062826,False
115,0.0028250000013940735,-0.07555555555555557,0.0380042378020511,False
116,0.0063909999989846256,-1.1627659574468083,8.055990197083888,False
117,0.011988999998720828,-0.09219858156028345,0.04858681545513615,False
118,0.0010249999995721737,-6.34375,9.337612102015852,False
119,0.004005999999208143,-0.08166666666666658,0.04372813390962254,False
120,0.0037219999994704267,-0.08070175438596484,0.08278717919696242,False
121,0.008466999999654945,-0.09133858267716513,0.056448557835218585,False
122,0.01613999999972293,-0.4964285714285717,9.186920272219387,False
123,0.002485000000888249,-0.07250000000000005,0.050803702051696736,False
124,0.014385999998921761,-0.09495412844036714,0.04572333184652705,False
125,0.004716999999800464,-0.08533333333333319,0.04568316294782704,False
126,0.00606800000059593,-1.2224719101123593,8.502503436507256,False
127,0.004963000001225737,-0.08589743589743574,0.04111484665304434,False
128,0.010223999999652733,-0.09316770186335378,0.0370033619877399,False
129,0.002448999999614898,-0.06944444444444449,0.03330302578896591,False
130,0.0032719999999244465,-2.1387755102040815,8.368667016903586,False
131,0.004718000000139,-1.414473684210526,8.999981687924063,False
132,0.004048999999213265,-0.08253968253968244,0.02997272321006932,False
133,0.00447600000006787,-0.08382352941176459,0.02697545088906239,False
134,0.006107999999585445,-0.08842105263157876,0.02982245565781193,False
135,0.0015419999999721767,-0.054166666666666696,0.026840210092030737,False
136,0.005128000000695465,-0.08658536585365838,0.03274673183257221,False
137,0.004756000000270433,-0.084507042253521,0.029472058649314993,False
138,0.010024999999586726,-0.09303797468354405,0.02652485278438349,False
139,0.0054799999998067506,-1.3036144578313251,9.999009947311853,False
140,0.006525000000692671,-0.08921568627450961,0.03753721656782549,False
141,0.008234999999331194,-0.09119999999999978,0.03378349491104295,False
142,0.0024859999994077953,-0.07179487179487185,0.03040514541993865,False
143,0.00549700000010489,-0.08749999999999983,0.04051413164563189,False
144,0.0041639999999461,-0.08307692307692298,0.036462718481068704,False
145,0.008195000000341679,-0.09126984126984104,0.04053609289310456,False
146,0.0021730000007664785,-0.06764705882352946,0.08031701409910838,False
147,0.0036200000013195677,-0.08103448275862062,0.043942741804654774,False
148,0.0029479999993782258,-0.07317073170731711,0.04417678377240308,False
149,0.00220900000022084,-0.06857142857142862,0.03975910539516278,False
150,0.0039259999994101236,-1.6857142857142855,9.996626963202754,False
151,0.0020520000016404083,-0.0645161290322581,0.035783194855646495,False
152,0.0019649999994726386,-0.06206896551724142,0.03220487537008184,False
153,0.002055000000837026,-0.060714285714285755,0.028984387833073656,False
154,0.003095000000030268,-0.07500000000000001,0.039476149197668675,False
155,0.0022990000015852274,-0.06857142857142862,0.03552853427790181,False
156,0.002660000000105356,-0.07250000000000005,0.03197568085011163,False
