episode,length,time,reward,delta
0,42.0,0.00377200000002631,-104.2,-99.99995121241842
1,41.0,0.003645999999207561,-104.1,-99.99057129858929
2,42.0,0.0031510000007983763,-104.2,-100.00054422493938
3,17.0,0.0014870000013615936,-101.7,-100.00016910938061
4,14.0,0.0009659999996074475,-101.4,-100.00047533313787
5,24.0,0.0015869999988353811,-102.4,-99.98963353523293
6,12.0,0.001007999999274034,-101.2,-90.00053524028465
7,7.0,0.0006900000007590279,-100.7,-100.00067067173693
8,31.0,0.0020629999999073334,-103.1,-100.0000615839272
9,76.0,0.0050979999996343395,-107.6,-99.99996469042658
10,28.0,0.0019109999993816018,-102.8,-100.00020886960623
11,83.0,0.006067999998776941,-108.29999999999998,-100.00026187313425
12,27.0,0.0017969999989873031,-102.7,-99.97829585630649
13,29.0,0.0019720000000233995,-102.9,-100.00023811543119
14,39.0,0.0025689999984024325,-103.9,-90.00012824536026
15,10.0,0.0009780000000318978,-101.0,-89.99067018170965
16,15.0,0.001202999999804888,-101.5,-90.0001879826456
17,17.0,0.001151999998910469,-101.7,-99.94439084487483
18,11.0,0.0007640000003448222,-101.1,-99.98126481142044
19,12.0,0.0008689999995112885,-101.2,-100.00042251448282
20,14.0,0.0014389999996637926,-101.4,-99.98841075219693
21,9.0,0.0006769999999960419,-100.9,-99.97539240087124
22,10.0,0.0008330000000569271,-101.0,-99.99995277017808
23,63.0,0.0046290000009321375,-106.3,-90.99021297297628
24,16.0,0.0010789999996632105,-101.6,-99.97945503875816
25,27.0,0.0017490000009274809,-102.7,-99.97765806132075
26,10.0,0.0007869999990361976,-101.0,-81.00022286128481
27,7.0,0.0005200000014156103,-100.7,-90.98129756593944
28,14.0,0.0010949999996228144,-101.4,-90.00048980244543
29,91.0,0.0077980000005482,-109.09999999999998,-81.00037427579562
30,20.0,0.001514000001407112,-102.0,-89.98150953488235
31,14.0,0.0011730000005627517,-101.4,-90.47389956414814
32,48.0,0.0034059999998135027,-104.8,-89.99995609117657
33,14.0,0.0009580000005371403,-101.4,-100.0003313283225
34,50.0,0.0036000000000058208,-105.0,-89.98965230043545
35,20.0,0.0014910000008967472,-102.0,-99.99021413742764
36,57.0,0.0045850000005884795,-105.69999999999999,-81.42650960773332
37,31.0,0.002701000001252396,-103.1,-100.00063035808881
38,44.0,0.0030079999996814877,-104.4,-99.99974438892046
39,9.0,0.0008780000007391209,-100.9,-81.8831678093455
40,66.0,0.004697000000305707,-106.6,-73.69485102841094
41,48.0,0.004543000000921893,-104.8,-99.98095929518664
42,139.0,0.01146599999992759,-113.89999999999996,-99.98025695655403
43,27.0,0.001847999999881722,-102.7,-99.97926653399927
44,65.0,0.004767999998875894,-106.5,-99.99044557205657
