params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",201.4794920000004,1000,-0.10000000000000003,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",224.41525899999942,1000,-0.10000000000000003,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",75.39964499999951,1000,-0.06902520726314836,-0.07027027027027029,-0.09098360655737706,-0.02666666666666669,0.01047692415792381
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",69.40461099999993,1000,-0.06847120797036621,-0.06944444444444446,-0.09090909090909093,-0.03125000000000001,0.010220095974621606
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",71.92334099999971,1000,-0.07027508274242573,-0.07105263157894738,-0.09801444043321297,-0.03529411764705883,0.010982616131608954
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",65.91625899999963,1000,-0.06894636986251777,-0.07105263157894738,-0.09026548672566373,-0.02666666666666669,0.010658144127103107
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",71.6436190000004,1000,-0.06901982195448196,-0.06944444444444446,-0.0907563025210084,-0.021428571428571446,0.009577962050881883
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",63.2814699999999,1000,-0.06891698445846386,-0.07027027027027029,-0.08999999999999998,-0.02666666666666669,0.00998559607859788
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",62.51736399999936,1000,-0.06853894480387165,-0.07027027027027029,-0.08877551020408163,-0.03125000000000001,0.009565188805395586
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",63.4263549999996,1000,-0.06836193562147125,-0.06944444444444446,-0.08888888888888888,-0.03125000000000001,0.009399939822377917
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",191.9133099999999,1000,-0.10000000000000003,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",196.6093890000011,1000,-0.10000000000000003,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",70.06890999999996,1000,-0.06979535278915347,-0.07105263157894738,-0.0985352862849534,-0.021428571428571446,0.011324906745669447
