episode,length,time,reward,delta
0,41.0,0.0029859999995096587,-104.1,-100.0
1,59.0,0.003912999996828148,-105.89999999999999,-100.0
2,49.0,0.004483000000618631,-104.9,-100.0
3,72.0,0.004934000000503147,-107.19999999999999,-100.0
4,86.0,0.00551400000040303,-108.59999999999998,-100.0
5,23.0,0.0017049999987648334,-102.3,-100.0
6,25.0,0.0027790000021923333,-102.5,-100.0
7,89.0,0.005685000000084983,-108.89999999999998,-90.0
8,42.0,0.003090000001975568,-104.2,-100.0
9,52.0,0.0033010000006470364,-105.2,-100.0
10,82.0,0.005445000002509914,-108.19999999999999,-90.0
11,98.0,0.006153999998787185,-109.79999999999998,-90.0
12,55.0,0.0036450000006880146,-105.5,-100.0
13,40.0,0.0026890000008279458,-104.0,-99.9895
14,96.0,0.006188999999722,-109.59999999999998,-99.981
15,93.0,0.005831999998918036,-109.29999999999998,-100.0
16,128.0,0.008750000000873115,-112.79999999999997,-99.99
17,93.0,0.006507999998575542,-109.29999999999998,-100.0
18,36.0,0.0024780000021564774,-103.60000000000001,-81.0
19,31.0,0.0023450000007869676,-103.1,-81.0
20,113.0,0.007965000000695,-111.29999999999998,-100.0
21,160.0,0.01057099999889033,-115.99999999999996,-100.0
22,151.0,0.009785000002011657,-115.09999999999997,-100.0
23,57.0,0.003832999998849118,-105.69999999999999,-99.962995
24,59.0,0.0038399999975808896,-105.89999999999999,-100.0
25,405.0,0.02553299999999581,-140.5000000000003,-100.0
26,35.0,0.002441999997245148,-103.5,-99.94311923905401
27,71.0,0.004561999998259125,-107.1,-99.91245364869701
28,36.0,0.002375000000029104,-103.60000000000001,-72.9
29,36.0,0.0023729999993520323,-103.60000000000001,-99.96128476372189
30,106.0,0.006939999999303836,-110.59999999999998,-100.0
31,98.0,0.0062800000014249235,-109.79999999999998,-90.0
32,27.0,0.0017579999985173345,-102.7,-90.0
33,27.0,0.0017440000010537915,-102.7,-81.0
34,41.0,0.0026419999994686805,-104.1,-75.59742491517794
35,100.0,0.006433999998989748,-109.99999999999999,-100.0
36,177.0,0.011350000000675209,-117.69999999999999,-100.0
37,133.0,0.00877099999706843,-113.29999999999997,-100.0
38,134.0,0.008546999997633975,-113.39999999999996,-89.99055
39,147.0,0.009647999999288004,-114.69999999999996,-99.97195
