steps,time,reward,delta,converged
1,0.0034689999993133824,-2.4785714285714286,10.0,False
2,0.0036229999968782067,-2.18125,10.0,False
3,0.007246000001032371,-1.2099999999999997,10.0,False
4,0.006486999998742249,-1.2224719101123593,10.0,False
5,0.0014259999989008065,-4.640909090909091,9.9981,False
6,0.0012199999982840382,-5.65,10.0,False
7,0.004391000002215151,-1.5910447761194029,9.0,False
8,0.0021990000022924505,-2.9542857142857146,10.0,False
9,0.004745999998704065,-1.4499999999999997,10.0,False
10,0.0023989999972400256,-2.7289473684210526,10.0,False
11,0.0038580000000365544,-1.765,9.9970596,False
12,0.005990000001474982,-1.1741935483870967,10.0,False
13,0.003027999999176245,-2.3200000000000003,9.999,False
14,0.00794300000052317,-0.9188524590163931,8.1,False
15,0.002348999998503132,-2.8000000000000003,9.996331240000002,False
16,0.0033670000011625234,-1.9849056603773585,10.0,False
17,0.0037080000001878943,-1.822413793103448,7.290000000000001,False
18,0.004086999997525709,-1.6857142857142855,9.9972036,False
19,0.0021809999998367857,-3.1272727272727274,9.0,False
20,0.004338999999163207,-1.6136363636363635,10.0,False
21,0.010419999998703133,-0.7054545454545452,10.0,False
22,0.008197999999538297,-0.8744186046511625,10.0,False
23,0.0012370000004011672,-5.65,9.998835328,False
24,0.0027259999988018535,-2.4232558139534883,9.0,False
25,0.002519000001484528,-2.5975,9.999,False
26,0.002210999999078922,-3.3225806451612905,9.997053328,False
27,0.005128000000695465,-1.4499999999999997,9.99721,False
28,0.0021820000001753215,-3.221875,9.0,False
29,0.0049890000009327196,-1.3974025974025974,10.0,False
30,0.004237999997712905,-1.765,9.0,False
31,0.001900999999634223,-3.5448275862068965,9.0,False
32,0.004150000000663567,-1.6857142857142855,9.99445538584,False
33,0.004031000000395579,-1.8526315789473684,9.0,False
34,0.0034410000007483177,-1.9163636363636363,6.561,False
35,0.014635999999882188,-0.5520361990950228,10.0,False
36,0.004891000000498025,-1.4874999999999998,9.0,False
37,0.008152000002155546,-0.9394957983193275,9.0,False
38,0.003595000001951121,-1.9163636363636363,8.1,False
39,0.0034149999992223457,-2.1387755102040815,8.1,False
40,0.002710999997361796,-2.8000000000000003,9.991761884377956,False
41,0.003400000001420267,-2.3200000000000003,9.99535217328,False
42,0.0015319999984058086,-4.2625,9.0,False
43,0.0020320000003266614,-4.443478260869566,8.1,False
44,0.003939999998692656,-2.021153846153846,5.9049000000000005,False
45,0.008381999999983236,-0.9394957983193275,10.0,False
46,0.017238000000361353,-0.4996000000000004,10.0,False
47,0.0013479999979608692,-4.857142857142857,8.1,False
48,0.006277000000409316,-1.2099999999999997,10.0,False
49,0.0030479999986710027,-3.1272727272727274,9.097891410995553,False
50,0.0013539999999920838,-5.095000000000001,8.1,False
51,0.0039509999987785704,-1.95,9.9981,False
52,0.0032030000002123415,-2.2717391304347827,8.1,False
53,0.002414000002318062,-4.857142857142857,7.290000000000001,False
54,0.0031249999992724042,-2.2717391304347827,8.99258569594016,False
55,0.002846999999746913,-3.43,9.993490340695669,False
56,0.0013820000021951273,-5.976470588235294,9.098519003511521,False
57,0.006646999998338288,-1.4684931506849312,7.290000000000001,False
58,0.0020490000024437904,-4.096,9.984711389001607,False
59,0.002781999999569962,-2.3704545454545456,8.188102269895998,False
60,0.006606999999348773,-1.1741935483870967,9.999,False
61,0.004518000001553446,-1.822413793103448,9.999,False
62,0.005323000001226319,-1.414473684210526,7.290000000000001,False
63,0.009806999998545507,-0.7937499999999997,10.0,False
64,0.006091999999625841,-1.34875,9.993218006215745,False
65,0.005567000000155531,-1.3036144578313251,10.0,False
66,0.000853999998071231,-9.181818181818182,8.188667103160368,False
67,0.009281999999075197,-0.8804687499999998,10.0,False
68,0.006786999998439569,-1.0605769230769229,8.9991,False
69,0.0094890000000305,-0.862595419847328,10.0,False
70,0.0009539999991829973,-7.235714285714286,7.369800392844332,False
71,0.009213999997882638,-0.8187050359712228,10.0,False
72,0.0017820000030042138,-4.2625,6.967887678683278,False
73,0.010088999999425141,-0.7363057324840763,9.99785752704,False
74,0.008078999999270309,-0.8928571428571427,6.90364317312,False
75,0.0019510000020090956,-3.43,8.9991,False
76,0.005215999997744802,-1.3333333333333333,8.1,False
77,0.0009739999986777548,-6.760000000000001,9.988061819091289,False
78,0.003643000000010943,-1.9163636363636363,10.0,False
79,0.024412000002485,-0.3608355091383819,10.0,False
80,0.0038980000026640482,-1.7932203389830508,6.213278855808,False
81,0.007396999997581588,-1.0605769230769229,8.9991,False
82,0.006045999998605112,-1.2099999999999997,10.0,False
83,0.002923000000009779,-2.4232558139534883,9.996337,False
84,0.0018429999981890433,-4.096,9.997863328000001,False
85,0.006968999998207437,-1.0249999999999997,10.0,False
86,0.01059999999779393,-0.7166666666666665,9.999,False
87,0.0032199999986914918,-2.2717391304347827,6.642069770403379,False
88,0.0008909999996831175,-7.7846153846153845,7.559416917465576,False
89,0.00641399999949499,-1.1858695652173912,6.803475225719018,False
90,0.0020530000001599547,-3.221875,6.123127703147117,False
91,0.0043889999979001,-1.822413793103448,8.1,False
92,0.0017670000015641563,-3.8,9.991035259876398,False
93,0.007079999999405118,-1.1741935483870967,10.0,False
94,0.004108000000996981,-1.8839285714285714,9.984038383496596,False
95,0.003408000000490574,-1.95,10.0,False
96,0.005436999999801628,-1.5910447761194029,9.997138,False
97,0.010502000000997214,-0.8455223880597013,9.99652071601792,False
