step,reward,mean,median,std,max,min
0,-0.0912,-0.0912,-0.0912,0.0,-0.0912,-0.0912
1,-0.08658536585365853,-0.08889268292682927,-0.08889268292682927,0.0023073170731707365,-0.08658536585365853,-0.0912
2,-0.07499999999999997,-0.08426178861788618,-0.08658536585365853,0.00681465373920788,-0.07499999999999997,-0.0912
3,-0.08764044943820223,-0.0851064538229652,-0.08711290764593038,0.006080296630509772,-0.07499999999999997,-0.0912
4,-0.8511278195488722,-0.2383107269681466,-0.08764044943820223,0.3064568048607591,-0.07499999999999997,-0.8511278195488722
5,-0.08513513513513513,-0.21278146166264467,-0.08711290764593038,0.2855203343133632,-0.07499999999999997,-0.8511278195488722
6,-0.0910569105691057,-0.19539224007785339,-0.08764044943820223,0.26775024049239216,-0.07499999999999997,-0.8511278195488722
7,-0.08382352941176469,-0.1814461512445923,-0.08711290764593038,0.2531607614332908,-0.07499999999999997,-0.8511278195488722
8,-0.9612068965517241,-0.26808623405649584,-0.08764044943820223,0.34208368914490966,-0.07499999999999997,-0.9612068965517241
9,-0.0907563025210084,-0.2503532409029471,-0.08919837597960531,0.3288605430220328,-0.07499999999999997,-0.9612068965517241
10,-0.08705882352941174,-0.23550829386898933,-0.08764044943820223,0.3170508329383583,-0.07499999999999997,-0.9612068965517241
11,-0.08842105263157891,-0.2232510237658718,-0.08803075103489058,0.30626313656536125,-0.07499999999999997,-0.9612068965517241
12,-0.07799999999999999,-0.21207786809157397,-0.08764044943820223,0.2967827816681477,-0.07499999999999997,-0.9612068965517241
13,-1.0891089108910892,-0.2747229425772536,-0.08803075103489058,0.36442538217842346,-0.07499999999999997,-1.0891089108910892
14,-0.08641975308641975,-0.26216939661119804,-0.08764044943820223,0.35518786079951675,-0.07499999999999997,-1.0891089108910892
15,-0.08641975308641975,-0.25118504389089935,-0.08734963648380699,0.3465304539299357,-0.07499999999999997,-1.0891089108910892
16,-0.08777777777777776,-0.2415728517665981,-0.08764044943820223,0.33837543720794677,-0.07499999999999997,-1.0891089108910892
17,-0.08103448275862067,-0.23265405348837712,-0.08734963648380699,0.330891529658136,-0.07499999999999997,-1.0891089108910892
18,-0.08817204301075267,-0.2250497371474495,-0.08764044943820223,0.3236780437108708,-0.07499999999999997,-1.0891089108910892
19,-0.08705882352941174,-0.21815019146654763,-0.08734963648380699,0.3169125637505174,-0.07499999999999997,-1.0891089108910892
20,-0.08658536585365853,-0.21188519977069578,-0.08705882352941174,0.3105415018699965,-0.07499999999999997,-1.0891089108910892
21,-0.08842105263157891,-0.20627319308255407,-0.08734963648380699,0.3044896644063512,-0.07499999999999997,-1.0891089108910892
22,-1.6609375,-0.26951946729635606,-0.08764044943820223,0.4203390543587462,-0.07499999999999997,-1.6609375
23,-1.1090909090909091,-0.30450161070446247,-0.08770911360799,0.44437518736707216,-0.07499999999999997,-1.6609375
24,-0.08705882352941174,-0.2958038992174604,-0.08764044943820223,0.4374770157440122,-0.07499999999999997,-1.6609375
25,-1.151578947368421,-0.32871832414634355,-0.08770911360799,0.4594661229692637,-0.07499999999999997,-1.6609375
26,-0.0910569105691057,-0.31991604956940883,-0.08777777777777776,0.4531056641770361,-0.07499999999999997,-1.6609375
27,-0.08932038834951454,-0.31168049024012695,-0.08797491039426522,0.4469940608935841,-0.07499999999999997,-1.6609375
28,-0.8035211267605634,-0.3286405121891075,-0.08817204301075267,0.44829442745841913,-0.07499999999999997,-1.6609375
29,-0.08493150684931505,-0.32051687867778106,-0.08797491039426522,0.4429252455233954,-0.07499999999999997,-1.6609375
30,-2.1387755102040815,-0.379170382920565,-0.08817204301075267,0.5413513677533168,-0.07499999999999997,-2.1387755102040815
31,-0.08777777777777776,-0.3700643640098528,-0.08797491039426522,0.5352323277144182,-0.07499999999999997,-2.1387755102040815
32,-0.0907563025210084,-0.36160048335867573,-0.08817204301075267,0.5292305904971951,-0.07499999999999997,-2.1387755102040815
33,-0.08705882352941174,-0.353525728657815,-0.08797491039426522,0.5234490215562273,-0.07499999999999997,-2.1387755102040815
34,-0.08842105263157891,-0.34595130934277973,-0.08817204301075267,0.5178039985772392,-0.07499999999999997,-2.1387755102040815
35,-0.08910891089108909,-0.3388167982746772,-0.08829654782116579,0.5123033472491914,-0.07499999999999997,-2.1387755102040815
36,-0.08624999999999998,-0.3319906685915778,-0.08817204301075267,0.5069899471142102,-0.07499999999999997,-2.1387755102040815
37,-0.07884615384615382,-0.32532897083511925,-0.08797491039426522,0.5019129619625806,-0.07499999999999997,-2.1387755102040815
38,-1.3036144578313253,-0.3504132140914322,-0.08817204301075267,0.5190063127823034,-0.07499999999999997,-2.1387755102040815
39,-1.0514285714285714,-0.36793859802486073,-0.08829654782116579,0.5240341478269656,-0.07499999999999997,-2.1387755102040815
40,-0.08533333333333332,-0.361045786690921,-0.08817204301075267,0.5194365923981255,-0.07499999999999997,-2.1387755102040815
