params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",191.25993999999992,1000,-0.13532568247971183,-0.11186319914499467,-2.021153846153846,-0.09904761904761904,0.11341091162067643
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",79.65221599999859,1000,-0.10133906206554691,-0.09957487908418536,-0.5646511627906977,-0.08962264150943396,0.02161068285426807
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",276.4342110000034,1000,-0.09748732598830778,-0.09809523666740627,-0.3418886198547215,-0.07962962962962959,0.010124116412708844
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",66.5525200000011,1000,-0.08417653850931649,-0.08382352941176469,-0.7363057324840765,-0.06944444444444446,0.02108906999305599
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",69.71320299999934,1000,-0.08254101957774042,-0.08281249999999998,-0.1175170962651236,-0.065625,0.005118887442340711
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",40.522353999996994,1000,-0.09121901372036188,-0.08472222222222221,-2.3200000000000003,-0.06764705882352942,0.11175425960740884
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",36.96106800000052,1000,-0.11426768431818962,-0.09285684166139574,-2.8,-0.07179487179487182,0.17401633409757944
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",94.38703000000169,1000,-0.09603426126429322,-0.0825396825396825,-2.6615384615384614,-0.065625,0.16084556755387594
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",32.700057000001834,1000,-0.17434961351104888,-0.08817204301075267,-2.3200000000000003,-0.06944444444444446,0.3233242390733963
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",35.491973000000144,1000,-0.1385464210776093,-0.08196721311475406,-5.3578947368421055,-0.065625,0.41326702287463724
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",93.28419600000052,1000,-0.24891248602010846,-0.17753211904374694,-2.18125,-0.09449999999999999,0.2082979249938826
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",92.69146600000022,1000,-0.10039075500170702,-0.09972832796564682,-0.2710616438356165,-0.08552631578947366,0.009047053104416268
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",73.99401000000216,1000,-0.09776126196911043,-0.09847009735744086,-0.09986028197637498,-0.08135593220338981,0.0021864801250865867
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",129.7295669999985,1000,-0.08402054056978506,-0.08405797101449272,-0.18686956521739134,-0.06944444444444446,0.005856880922419273
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",131.79606100000092,1000,-0.08491840412927891,-0.08281249999999998,-2.5975,-0.060714285714285735,0.07963341749666676
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",97.70626099999936,1000,-0.0954453297055648,-0.08267609126984124,-2.3704545454545456,-0.06333333333333337,0.14741438459758935
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",69.2487770000007,1000,-0.08680323339278809,-0.08225806451612899,-2.18125,-0.06451612903225809,0.09436704608377593
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",68.27459400000225,1000,-0.08729378107622271,-0.08225806451612899,-3.1272727272727274,-0.065625,0.11285206024339695
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",52.57172999999966,1000,-0.10978266205708158,-0.08225806451612899,-2.7289473684210526,-0.06333333333333337,0.2290861757970034
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",28.10482200000115,1000,-0.16383193214533834,-0.09301580262839634,-2.5975,-0.0725,0.27285467377318323
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",76.20052099999884,1000,-0.30349849527666933,-0.21773755121883465,-2.225531914893617,-0.08877551020408163,0.2548143010178557
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",94.73447099999976,1000,-0.099535175857324,-0.09939527048264724,-0.5324675324675324,-0.08764044943820223,0.014964827521968985
