steps,time,reward,delta,converged
1,0.001036000000567583,-197.6891290519406,100.0,False
2,0.0017449999995733378,-166.7213903417931,40.0,False
3,0.003939999999602151,-123.86292577514894,16.0,False
4,0.0012079999996785773,-94.57313818976209,6.400000000000006,False
5,0.0009000000000014552,-79.27815888603354,2.5600000000000023,False
6,0.001111999999920954,-71.94816345300904,1.024000000000001,False
7,0.0018190000000686268,-68.58194962551016,0.4095999999999833,False
8,0.0029560000002675224,-67.0757932108306,0.16383999999999332,False
9,0.0009730000001582084,-66.41956138207499,0.0655360000000087,False
10,0.0013040000003456953,-66.14060894644692,0.026214400000014848,False
11,0.0012900000001536682,-66.02426155704461,0.01048575999999457,False
12,0.0013560000006691553,-65.97634135391698,0.004194304000009197,False
13,0.0019879999999830034,-65.95676006494634,0.0016777216000036788,False
14,0.00114800000028481,-65.94879878071959,0.0006710886399901028,False
15,0.0012989999995625112,-65.94557264296114,0.0002684354560074098,False
16,0.0009780000000318978,-65.9442684829393,0.00010737418239159524,False
17,0.0014160000000629225,-65.94374242352643,4.294967294526941e-05,False
18,0.0019119999997201376,-65.94353065234381,1.717986918947645e-05,False
19,0.0009890000001178123,-65.94344555354724,6.8719476757905795e-06,True
