steps,time,reward,delta,converged
1,0.005920999999943888,-251.81484223823617,100.01302713195875,False
2,0.004253000000062457,-199.3560568755716,30.0,False
3,0.005402000000685803,-158.83425566077568,9.0,False
4,0.004703000000517932,-138.77878594111058,2.6999999999999886,False
5,0.007453999999597727,-130.10611738085385,0.8100000000000023,False
6,0.006082000000787957,-126.79272781102662,0.242999999999995,False
7,0.006301000000348722,-125.57755440040171,0.07290000000000418,False
8,0.00494299999991199,-125.14192572348955,0.02187000000000694,False
9,0.006069999999454012,-124.98870805432603,0.006561000000004924,False
10,0.005428999999821826,-124.93562776231693,0.0019682999999872663,False
11,0.003649000000223168,-124.91766447873741,0.0005904900000075486,False
12,0.005642000000079861,-124.91173038929759,0.00017714700001647543,False
13,0.005054999999629217,-124.90979084576259,5.314409997936309e-05,False
14,0.0033549999998285784,-124.90916636392475,1.5943230010861953e-05,False
15,0.0037219999994704267,-124.90896692703376,4.782969000416415e-06,True
