params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",4.175819000000047,100,-0.09999999999999998,-0.1,-0.1,-0.1,2.7755575615628914e-17
"{""discount_factor"": 0.1}",4.26103299999977,100,-0.09999999999999998,-0.1,-0.1,-0.1,2.7755575615628914e-17
"{""discount_factor"": 0.2}",4.59042799999952,100,-0.09999999999999998,-0.1,-0.1,-0.1,2.7755575615628914e-17
"{""discount_factor"": 0.3}",5.399787000000288,100,-0.09999999999999998,-0.1,-0.1,-0.1,2.7755575615628914e-17
"{""discount_factor"": 0.4}",4.555335999999443,100,-0.0999271523178808,-0.1,-0.1,-0.09271523178807944,0.0007248252853094614
"{""discount_factor"": 0.5}",4.479029000000082,100,-0.08617071827536213,-0.08580586080586078,-0.1,-0.07555555555555553,0.004451460176982319
"{""discount_factor"": 0.6}",4.46611699999994,100,-0.12389974074325456,-0.08307692307692306,-2.4785714285714286,-0.06666666666666667,0.2932439130709507
"{""discount_factor"": 0.7}",4.42702300000019,100,-0.21942131721376223,-0.08119520748100524,-3.9423076923076925,-0.06944444444444446,0.5862614848473051
"{""discount_factor"": 0.8}",4.496813000000657,100,-0.4230280941885109,-0.08103448275862067,-3.43,-0.06764705882352942,0.8987772431375972
"{""discount_factor"": 0.9}",5.209880999999768,100,-1.4040900118928028,-0.08281249999999998,-12.5875,-0.06857142857142857,2.3577361584202903
