steps,time,reward,delta,converged
1,0.03570000000036089,-229.41970201115754,138.15056766564803,False
2,0.02993400000013935,174.86646326214725,101.66666638033551,False
3,0.030103999999482767,189.74356106812763,101.66666638033551,False
4,0.029371000000537606,197.44346007111187,101.66666638033551,False
5,0.030432999999902677,197.77978650053598,101.66666638033551,False
6,0.029782999999952153,197.8205083628195,101.66666638033551,False
7,0.030015999999704945,197.83679430569623,101.66666638033551,False
8,0.02960700000039651,197.84325134073856,101.6663937572864,False
9,0.03017100000033679,197.84325134073856,101.6663937572864,False
10,0.029513000000406464,197.84325134073856,101.6663937572864,False
11,0.029181999999309483,197.84325134073856,101.6663937572864,False
12,0.029931000000033237,197.84325134073856,101.6663937572864,True
