steps,time,reward,delta,converged
1,0.28085699999996905,-2597.832223659281,100.0,False
2,0.33713299999999435,-637.8927167818997,100.0,False
3,0.33905299999992167,-607.7086242891935,100.0,False
4,0.33433199999990393,-604.9455703936375,100.0,False
5,0.3208109999999351,-603.6343673014645,100.0,False
6,0.32775199999991855,-600.7462127459556,100.0,False
7,0.32637799999997696,-600.6556075144397,100.0,False
8,0.3151830000000473,-600.6353200903014,100.0,False
9,0.3157489999999825,-600.6353200903014,100.0,False
10,0.3104889999999614,-600.6353200903014,100.0,False
11,0.3203689999999142,-600.6353200903014,100.0,False
12,0.32438600000000406,-600.6353200903014,100.0,True
