steps,time,reward,delta,converged
1,0.632727000000159,-3099.452788082007,100.0,False
2,0.6830150000005233,-425.9311736245277,100.0,False
3,0.6927660000001197,-372.38007982907305,100.0,False
4,0.680435000000216,-369.3428499437781,100.0,False
5,0.6912640000000465,-369.010680807984,100.0,False
6,0.666943999999603,-368.93918581967495,100.0,False
7,0.6755190000003495,-368.9354055241251,100.0,False
8,0.6632680000002438,-368.9354049652547,100.0,False
9,0.658965999999964,-368.9354049652547,100.0,False
10,0.6645639999997002,-368.9354049652547,100.0,False
11,0.6670840000006137,-368.9354049652547,100.0,False
12,0.7020769999999175,-368.9354049652547,100.0,True
