step,reward,mean,median,std,max,min
0,-0.0725,-0.0725,-0.0725,0.0,-0.0725,-0.0725
1,-0.08382352941176469,-0.07816176470588235,-0.07816176470588235,0.005661764705882345,-0.0725,-0.08382352941176469
2,-0.08428571428571426,-0.08020308123249298,-0.08382352941176469,0.005450168136257582,-0.0725,-0.08428571428571426
3,-0.08135593220338981,-0.08049129397521719,-0.08258973080757726,0.004746309017575016,-0.0725,-0.08428571428571426
4,-0.07799999999999999,-0.07999303518017375,-0.08135593220338981,0.004360619994863539,-0.0725,-0.08428571428571426
5,-0.08764044943820223,-0.08126760422317851,-0.08258973080757726,0.0048957604288404405,-0.0725,-0.08764044943820223
6,-0.07924528301886789,-0.08097870119399128,-0.08135593220338981,0.004587503980396701,-0.0725,-0.08764044943820223
7,-0.0807017543859649,-0.08094408284298797,-0.08102884329467736,0.004292194390456872,-0.0725,-0.08764044943820223
8,-0.08225806451612899,-0.0810900808066703,-0.08135593220338981,0.004067734431849851,-0.0725,-0.08764044943820223
9,-0.08690476190476189,-0.08167154891647946,-0.08180699835975941,0.00423494551697852,-0.0725,-0.08764044943820223
10,-0.08450704225352108,-0.0819293210380287,-0.08225806451612899,0.004119319743587903,-0.0725,-0.08764044943820223
11,-0.08450704225352108,-0.08214413113931975,-0.08304079696394684,0.004007780690507359,-0.0725,-0.08764044943820223
12,-0.09017857142857144,-0.08276216500772371,-0.08382352941176469,0.004405716106182335,-0.0725,-0.09017857142857144
13,-0.07924528301886789,-0.08251095915137686,-0.08304079696394684,0.0043409951531830715,-0.0725,-0.09017857142857144
14,-0.08428571428571426,-0.0826292761603327,-0.08382352941176469,0.004217101033863255,-0.0725,-0.09017857142857144
15,-0.07499999999999997,-0.08215244640031188,-0.08304079696394684,0.0044813997935711685,-0.0725,-0.09017857142857144
16,-0.08842105263157891,-0.08252118794332759,-0.08382352941176469,0.004590982429179029,-0.0725,-0.09017857142857144
17,-0.08428571428571426,-0.0826192171845713,-0.08405462184873946,0.004479903349279842,-0.0725,-0.09017857142857144
18,-0.08658536585365853,-0.08282796185136537,-0.08428571428571426,0.004449447246704481,-0.0725,-0.09017857142857144
19,-0.08405797101449272,-0.08288946230952174,-0.0841718426501035,0.004345062206903509,-0.0725,-0.09017857142857144
20,-0.0807017543859649,-0.08278528574173331,-0.08405797101449272,0.004265863780632842,-0.0725,-0.09017857142857144
21,-0.08791208791208789,-0.08301832220402215,-0.0841718426501035,0.004302424466330454,-0.0725,-0.09017857142857144
22,-0.08333333333333331,-0.08303201834007916,-0.08405797101449272,0.004208344484591654,-0.0725,-0.09017857142857144
23,-0.07317073170731707,-0.08262113139704741,-0.0839407502131287,0.004566758770622753,-0.0725,-0.09017857142857144
24,-0.08589743589743587,-0.08275218357706296,-0.08405797101449272,0.00452031707024864,-0.0725,-0.09017857142857144
25,-0.08624999999999998,-0.08288671497794516,-0.0841718426501035,0.004483284398633064,-0.0725,-0.09017857142857144
26,-0.08307692307692306,-0.08289375972235175,-0.08405797101449272,0.004399623944906976,-0.0725,-0.09017857142857144
27,-0.08196721311475406,-0.0828606687720804,-0.0839407502131287,0.004323765230165646,-0.0725,-0.09017857142857144
28,-0.07755102040816327,-0.0826775774491867,-0.08382352941176469,0.004357627860873235,-0.0725,-0.09017857142857144
29,-0.08196721311475406,-0.08265389863803894,-0.083578431372549,0.0042862823578893846,-0.0725,-0.09017857142857144
30,-0.08962264150943396,-0.08287869679518071,-0.08382352941176469,0.004392674658062604,-0.0725,-0.09017857142857144
31,-0.08493150684931505,-0.08294284710937241,-0.0839407502131287,0.004338222745648391,-0.0725,-0.09017857142857144
32,-0.08166666666666664,-0.08290417497474496,-0.08382352941176469,0.0042775840491114155,-0.0725,-0.09017857142857144
33,-0.08607594936708857,-0.08299746245687271,-0.0839407502131287,0.004248145618824197,-0.0725,-0.09017857142857144
34,-0.08225806451612899,-0.0829763368014229,-0.08382352941176469,0.004188829668827173,-0.0725,-0.09017857142857144
35,-0.08472222222222221,-0.08302483361866732,-0.0839407502131287,0.0041401950296990645,-0.0725,-0.09017857142857144
36,-0.08589743589743587,-0.0831024715180935,-0.08405797101449272,0.004110344750672809,-0.0725,-0.09017857142857144
37,-0.07659574468085102,-0.08293124186448185,-0.0839407502131287,0.004187499902338397,-0.0725,-0.09017857142857144
38,-0.08607594936708857,-0.08301187539018971,-0.08405797101449272,0.004163244305804994,-0.0725,-0.09017857142857144
39,-0.08552631578947366,-0.08307473640017182,-0.0841718426501035,0.0041295758653323075,-0.0725,-0.09017857142857144
40,-0.08358208955223878,-0.08308711086729541,-0.08405797101449272,0.004079655061032749,-0.0725,-0.09017857142857144
41,-0.08513513513513513,-0.08313587334986303,-0.0841718426501035,0.00404287008716585,-0.0725,-0.09017857142857144
42,-0.07659574468085102,-0.0829837773343046,-0.08405797101449272,0.004115371339448572,-0.0725,-0.09017857142857144
43,-0.08358208955223878,-0.08299737533925765,-0.0839407502131287,0.004069314036186174,-0.0725,-0.09017857142857144
44,-0.07962962962962959,-0.08292253654571036,-0.08382352941176469,0.004054351870503034,-0.0725,-0.09017857142857144
45,-0.08690476190476189,-0.08300910666221148,-0.0839407502131287,0.004051872852366684,-0.0725,-0.09017857142857144
46,-0.08764044943820223,-0.08310764587021129,-0.08405797101449272,0.0040638676505084905,-0.0725,-0.09017857142857144
47,-0.0725,-0.0828866532479152,-0.0839407502131287,0.004297246920583976,-0.0725,-0.09017857142857144
48,-0.07317073170731707,-0.08268836913484177,-0.08382352941176469,0.004469526092597711,-0.0725,-0.09017857142857144
49,-0.0898148148148148,-0.08283089804844124,-0.0839407502131287,0.004535696230122098,-0.0725,-0.09017857142857144
50,-0.08962264150943396,-0.08296406948885288,-0.08405797101449272,0.004588669608506351,-0.0725,-0.09017857142857144
51,-0.08472222222222221,-0.08299788011834074,-0.0841718426501035,0.004550743777671287,-0.0725,-0.09017857142857144
52,-0.0738095238095238,-0.08282451490496683,-0.08405797101449272,0.004677757353864291,-0.0725,-0.09017857142857144
53,-0.08533333333333332,-0.08287097450549215,-0.0841718426501035,0.004646568917095164,-0.0725,-0.09017857142857144
54,-0.07884615384615382,-0.08279779594804963,-0.08405797101449272,0.004635431129583265,-0.0725,-0.09017857142857144
55,-0.08735632183908043,-0.08287919819610375,-0.0841718426501035,0.00463335400093111,-0.0725,-0.09017857142857144
56,-0.07799999999999999,-0.08279359822775105,-0.08405797101449272,0.0046369893372985626,-0.0725,-0.09017857142857144
57,-0.08307692307692306,-0.08279848313894368,-0.0839407502131287,0.004596989429870911,-0.0725,-0.09017857142857144
58,-0.08358208955223878,-0.08281176460357578,-0.08382352941176469,0.004558987616272244,-0.0725,-0.09017857142857144
59,-0.07884615384615382,-0.08274567109095209,-0.08370280948200173,0.004549252108073775,-0.0725,-0.09017857142857144
60,-0.08405797101449272,-0.08276718420445275,-0.08382352941176469,0.0045148853697137,-0.0725,-0.09017857142857144
61,-0.07441860465116278,-0.08263252969552871,-0.08370280948200173,0.004600158115583031,-0.0725,-0.09017857142857144
62,-0.08877551020408163,-0.08273003732264861,-0.08382352941176469,0.004627638522798218,-0.0725,-0.09017857142857144
63,-0.08281249999999998,-0.08273132580198223,-0.08370280948200173,0.004591354148348969,-0.0725,-0.09017857142857144
64,-0.08817204301075267,-0.08281502914365561,-0.08382352941176469,0.004604847118702137,-0.0725,-0.09017857142857144
65,-0.08472222222222221,-0.08284392600848238,-0.0839407502131287,0.004575763519114335,-0.0725,-0.09017857142857144
66,-0.08166666666666664,-0.08282635497352991,-0.08382352941176469,0.00454373051998362,-0.0725,-0.09017857142857144
67,-0.08990825688073394,-0.08293050058981233,-0.0839407502131287,0.004590052250673595,-0.0725,-0.09017857142857144
68,-0.0807017543859649,-0.08289819992019135,-0.08382352941176469,0.004564447895550527,-0.0725,-0.09017857142857144
69,-0.08382352941176469,-0.08291141891292811,-0.08382352941176469,0.004533057529395499,-0.0725,-0.09017857142857144
70,-0.08307692307692306,-0.08291374995749143,-0.08382352941176469,0.004501063638565175,-0.0725,-0.09017857142857144
71,-0.07441860465116278,-0.08279576182823685,-0.08370280948200173,0.0045789295705082065,-0.0725,-0.09017857142857144
72,-0.08196721311475406,-0.08278441184586037,-0.08358208955223878,0.0045484785982650355,-0.0725,-0.09017857142857144
73,-0.08166666666666664,-0.08276930718127669,-0.08358208955223878,0.004519484054679952,-0.0725,-0.09017857142857144
74,-0.08035714285714286,-0.08273714499028824,-0.08358208955223878,0.004497770453835106,-0.0725,-0.09017857142857144
75,-0.07843137254901959,-0.08268049008974522,-0.08358208955223878,0.004494940375403643,-0.0725,-0.09017857142857144
76,-0.08942307692307692,-0.08276805615251577,-0.08358208955223878,0.004530435628525052,-0.0725,-0.09017857142857144
77,-0.08493150684931505,-0.08279579269991064,-0.08358208955223878,0.004507875914112532,-0.0725,-0.09017857142857144
78,-0.08196721311475406,-0.08278530435073143,-0.08358208955223878,0.004480211884322762,-0.0725,-0.09017857142857144
79,-0.07884615384615382,-0.08273606496942419,-0.08358208955223878,0.004473581519752544,-0.0725,-0.09017857142857144
80,-0.08571428571428569,-0.08277283312676816,-0.08358208955223878,0.004458027610460513,-0.0725,-0.09017857142857144
81,-0.08571428571428569,-0.08280870449978667,-0.08358208955223878,0.004442507330940216,-0.0725,-0.09017857142857144
82,-0.08405797101449272,-0.0828237559035783,-0.08358208955223878,0.004417767136518216,-0.0725,-0.09017857142857144
83,-0.07659574468085102,-0.08274961291283155,-0.08358208955223878,0.0044430385323954895,-0.0725,-0.09017857142857144
84,-0.07499999999999997,-0.08265844099621,-0.08358208955223878,0.0044951733996075995,-0.0725,-0.09017857142857144
85,-0.07105263157894738,-0.08252348972391625,-0.08358208955223878,0.004638925577726399,-0.07105263157894738,-0.09017857142857144
86,-0.08450704225352108,-0.08254628917827952,-0.08358208955223878,0.004617031789044548,-0.07105263157894738,-0.09017857142857144
87,-0.07799999999999999,-0.08249462680125363,-0.08358208955223878,0.004615944887829419,-0.07105263157894738,-0.09017857142857144
88,-0.08103448275862067,-0.08247822068841507,-0.08358208955223878,0.004592518855013712,-0.07105263157894738,-0.09017857142857144
89,-0.08225806451612899,-0.082475774508723,-0.08345771144278605,0.004566991898143876,-0.07105263157894738,-0.09017857142857144
